Nafas-ke;Second;Milisecond
1;00:01.53;00:01.53
2;00:02.57; 00:04.10
3;00:02.41;00:06.51
4;00:03.00;00:09.52
5;00:02.55;00:12.08
6;00:02.44;00:14.52
7;00:02.43;00:16.96
8;00:02.98;00:19.94
9;00:03.06;00:23.01
10;00:02.84;00:25.85
11;00:03.03;00:28.88
12;00:02.74;00:31.62
13;00:02.81;00:34.44
14;00:03.05;00:37.49
15;00:02.87;00:40.37
16;00:03.25;00:43.63
17;00:02.97;00:46.60
18;00:02.32;00:48.93
19;00:02.83;00:51.76
20;20  +00:02.71;00:54.48
21;00:02.07;00:56.55
22;00:03.16;00:59.71
23;00:01.92;01:01.64
